"amount","creditAccount","currency","debitAccount","id","ref"
"18.0","TEST82","RON","CONTADMIN0","0","PAY"
"7.0","TEST95","RON","TEST69","1","PAY"
"5.0","TEST86","RON","TEST72","2","PAY"
"20.0","TEST84","RON","TEST96","3","PAY"
"16.0","TEST89","RON","TEST18","4","PAY"
"17.0","TEST8","RON","TEST29","5","PAY"
"10.0","TEST84","RON","TEST23","6","PAY"
"2.0","TEST26","RON","TEST86","7","PAY"
"18.0","TEST17","RON","TEST64","8","PAY"
"4.0","TEST38","RON","TEST36","9","PAY"
"17.0","TEST18","RON","TEST90","10","PAY"
"18.0","TEST36","RON","TEST24","11","PAY"
"19.0","TEST40","RON","TEST44","12","PAY"
"3.0","TEST73","RON","TEST14","13","PAY"
"11.0","TEST8","RON","TEST62","14","PAY"
"3.0","TEST38","RON","CONTADMIN0","15","PAY"
"7.0","TEST84","RON","TEST44","16","PAY"
"10.0","TEST51","RON","TEST52","17","PAY"
"4.0","TEST37","RON","TEST25","18","PAY"
"7.0","TEST48","RON","TEST57","19","PAY"
"14.0","TEST52","RON","TEST13","20","PAY"
"20.0","TEST14","RON","TEST39","21","PAY"
"13.0","TEST50","RON","TEST97","22","PAY"
"10.0","TEST88","RON","TEST46","23","PAY"
"10.0","TEST8","RON","TEST62","24","PAY"
"20.0","TEST26","RON","TEST29","25","PAY"
"5.0","TEST3","RON","TEST12","26","PAY"
"3.0","TEST18","RON","TEST52","27","PAY"
"13.0","TEST80","RON","TEST28","28","PAY"
"18.0","TEST75","RON","TEST98","29","PAY"
"10.0","TEST90","RON","TEST46","30","PAY"
"8.0","TEST64","RON","TEST97","31","PAY"
"3.0","TEST59","RON","TEST50","32","PAY"
"6.0","TEST37","RON","TEST30","33","PAY"
"16.0","TEST49","RON","TEST71","34","PAY"
"10.0","TEST33","RON","TEST97","35","PAY"
"2.0","TEST17","RON","CONTADMIN0","36","PAY"
"8.0","TEST96","RON","TEST76","37","PAY"
"16.0","TEST39","RON","TEST30","38","PAY"
"14.0","TEST31","RON","TEST20","39","PAY"
"15.0","TEST42","RON","TEST60","40","PAY"
"6.0","TEST54","RON","TEST89","41","PAY"
"3.0","TEST65","RON","TEST44","42","PAY"
"10.0","TEST24","RON","TEST13","43","PAY"
"10.0","TEST25","RON","TEST77","44","PAY"
"15.0","TEST20","RON","TEST40","45","PAY"
"14.0","TEST73","RON","TEST66","46","PAY"
"17.0","TEST14","RON","TEST55","47","PAY"
"2.0","TEST77","RON","TEST53","48","PAY"
"17.0","TEST23","RON","TEST43","49","PAY"
"14.0","TEST74","RON","TEST90","50","PAY"
"6.0","TEST21","RON","TEST98","51","PAY"
"7.0","TEST77","RON","TEST87","52","PAY"
"19.0","TEST17","RON","TEST91","53","PAY"
"5.0","TEST89","RON","TEST99","54","PAY"
"20.0","TEST54","RON","TEST49","55","PAY"
"5.0","TEST16","RON","TEST98","56","PAY"
"17.0","TEST49","RON","TEST26","57","PAY"
"7.0","TEST81","RON","TEST44","58","PAY"
"3.0","TEST14","RON","TEST32","59","PAY"
"6.0","TEST85","RON","TEST62","60","PAY"
"4.0","TEST60","RON","TEST77","61","PAY"
"12.0","TEST61","RON","TEST72","62","PAY"
"6.0","TEST98","RON","TEST99","63","PAY"
"13.0","TEST16","RON","TEST74","64","PAY"
"1.0","TEST81","RON","TEST42","65","PAY"
"11.0","TEST94","RON","TEST52","66","PAY"
"19.0","TEST78","RON","TEST43","67","PAY"
"2.0","TEST8","RON","TEST44","68","PAY"
"6.0","TEST84","RON","TEST75","69","PAY"
"4.0","TEST25","RON","TEST43","70","PAY"
"15.0","TEST12","RON","TEST89","71","PAY"
"10.0","TEST98","RON","TEST67","72","PAY"
"2.0","TEST69","RON","TEST22","73","PAY"
"18.0","TEST71","RON","TEST72","74","PAY"
"15.0","TEST3","RON","TEST27","75","PAY"
"11.0","TEST4","RON","TEST75","76","PAY"
"15.0","TEST38","RON","TEST86","77","PAY"
"3.0","TEST75","RON","TEST26","78","PAY"
"20.0","TEST72","RON","TEST57","79","PAY"
"8.0","TEST27","RON","TEST65","80","PAY"
"18.0","TEST53","RON","TEST69","81","PAY"
"6.0","TEST23","RON","TEST34","82","PAY"
"18.0","TEST18","RON","TEST72","83","PAY"
"19.0","TEST25","RON","TEST88","84","PAY"
"6.0","TEST89","RON","TEST65","85","PAY"
"20.0","TEST39","RON","TEST65","86","PAY"
"13.0","TEST99","RON","TEST30","87","PAY"
"1.0","TEST43","RON","TEST79","88","PAY"
"8.0","TEST6","RON","TEST19","89","PAY"
"9.0","TEST81","RON","TEST61","90","PAY"
"13.0","TEST42","RON","TEST20","91","PAY"
"20.0","TEST43","RON","TEST30","92","PAY"
"7.0","TEST49","RON","CONTADMIN","93","PAY"
"9.0","TEST80","RON","TEST22","94","PAY"
"13.0","TEST63","RON","TEST98","95","PAY"
"16.0","TEST62","RON","TEST75","96","PAY"
"5.0","TEST30","RON","TEST56","97","PAY"
"18.0","TEST41","RON","TEST61","98","PAY"
"10.0","TEST76","RON","TEST51","99","PAY"
"19.0","TEST86","RON","TEST76","100","PAY"
"11.0","TEST74","RON","TEST16","101","PAY"
"15.0","TEST46","RON","TEST85","102","PAY"
"17.0","TEST55","RON","TEST99","103","PAY"
"11.0","TEST16","RON","TEST29","104","PAY"
"11.0","TEST21","RON","TEST13","105","PAY"
"19.0","TEST28","RON","TEST16","106","PAY"
"15.0","TEST3","RON","TEST26","107","PAY"
"14.0","TEST82","RON","TEST96","108","PAY"
"7.0","TEST67","RON","TEST46","109","PAY"
"14.0","TEST98","RON","TEST13","110","PAY"
"10.0","TEST33","RON","TEST24","111","PAY"
"2.0","TEST91","RON","TEST77","112","PAY"
"1.0","TEST85","RON","TEST55","113","PAY"
"5.0","TEST40","RON","TEST12","114","PAY"
"14.0","TEST87","RON","TEST2","115","PAY"
"3.0","TEST88","RON","TEST87","116","PAY"
"6.0","TEST88","RON","TEST52","117","PAY"
"2.0","TEST11","RON","TEST41","118","PAY"
"14.0","TEST46","RON","TEST64","119","PAY"
"16.0","TEST70","RON","TEST8","120","PAY"
